MapFind Routine Version: 0.35 by tap 
Run From Version: 508, On Version: 112 Run from File: 52_508fix.bin, On File: A7842980_112.BIN

Found 0 new maps with 2271/2385 found in HW# 112 
10563 skipped, 44 conflicts, and 15086 agreed 
0 AxisCheckErrors and 14 AxisCheckTargErrors. Conflict at 2344 
0 Duplicate Matches Found 
sVar  Map Name                      befo:S:after  A2Lof    del  Newof Delta   Col Row Err Posib var# MatR Blk D O:N A2lDa:NewDa DUPLICATE 
  54         K_CAN_LAMPEN_PRE_DRIVE    1: :1         4B      1     4D       2   0   0   0     1 1766  100   0 0 O:N    19:19    
  55                    K_EDK_UBMIN    1: :1         4C    179    100     180   0   0   0     1 1682  100   0 0 O:N    64:64    
  56                     K_EDK_CYCL    1: :1         4D      1    101     180   0   0   0     1 1683  100   0 0 O:N     2:2     
  57                   K_EDK_D_NULL    1: :1         4E      1    102     180   0   0   0     1 1685  100   0 0 O:N  0104:0104  
  58                    K_EDK_D_MAX    2: :2         50      2    104     180   0   0   0     1 1684  100   0 0 O:N  0D70:0D70  
  59                     K_EDK_DPOS    2: :2         52      2    106     180   0   0   0     1 1680  100   0 0 O:N    50:50    
  60                     K_EDK_DNEG    1: :1         53      1    107     180   0   0   0     1 1679  100   0 0 O:N    4B:4B    
  61                K_EDK_D_EIN_POS    1: :1         54      1    108     180   0   0   0     1 1681  100   0 0 O:N  0F0A:0F0A  
  62                 K_EDK_D_ANSCHL    2: :2         56      2    10A     180   0   0   0     1 1678  100   0 0 O:N  0834:0834  
  63                   K_EDK_I_NULL    2: :2         58      2    10C     180   0   0   0     1 1664  100   0 0 O:N    01:01    
  64                    K_EDK_IBEGR    2: :2         5A      2    10E     180   0   0   0     1 1661  100   0 0 O:N  0550:0550  
  65             K_EDK_IBEGR_AUFGEW    2: :2         5C      2    110     180   0   0   0     3 1663  100   0 0 O:N  0AF0:0AF0  
  66           K_EDK_IBEGR_ANSCHLAG    2: :2         5E      2    112     180   0   0   0     2 1662  100   0 0 O:N    00:00    
  67             K_EDK_T_AUFWEITUNG    2: :2         60      2    114     180   0   0   0    28 1658  100   0 0 O:N  021C:021C  
  68               K_EDK_T_ANSCHLAG    2: :2         62      2    116     180   0   0   0     1 1659  100   0 0 O:N  021C:021C  
  69                   K_EDK_IDELTA    2: :2         64      2    118     180   0   0   0     1 1660  100   0 0 O:N  010E:010E  
  70               K_EDK_A100_DELTA    2: :2         66      2    11A     180   0   0   0     1 1667  100   0 0 O:N  0500:0500  
  71               K_EDK_A100_WAIT1    2: :2         68      2    11C     180   0   0   0     1 1668  100   0 0 O:N    14:14    
  72               K_EDK_A100_WAIT2    1: :1         69      1    11D     180   0   0   0     1 1670  100   0 0 O:N    14:14    
  73                K_EDK_A100_INC1    1: :1         6A      1    11E     180   0   0   0     1 1669  100   0 0 O:N     5:5     
  74                K_EDK_A100_INC2    1: :1         6B      1    11F     180   0   0   0     1 1665  100   0 0 O:N     1:1     
  75                K_EDK_A100_DEC3    1: :1         6C      1    120     180   0   0   0     1 1666  100   0 0 O:N  0104:0104  
  76                  K_EDK_A100_B1    2: :2         6E      2    122     180   0   0   0     1 1671  100   0 0 O:N  0532:0532  
  77              K_EDK_GESCHLOSSEN    2: :2         70      2    124     180   0   0   0     1 1701  100   0 0 O:N    03:03    
  78                   K_EDK_HT_MAX    2: :2         72      2    126     180   0   0   0     1 1705  100   0 0 O:N  0D70:0D70  
  79              K_EDK_A100_HT_MAX    2: :2         74      2    128     180   0   0   0     1 1707  100   0 0 O:N  0B7C:0B7C  
  80                K_EDK_SK_HT_MAX    2: :2         76      2    12A     180   0   0   0     1 1706  100   0 0 O:N  0460:0460  
  81               K_EDK_AUS_HT_MAX    2: :2         78      2    12C     180   0   0   0     1 1702  100   0 0 O:N  0B7C:0B7C  
  82                    K_EDK_D_IST    2: :2         7A      2    12E     180   0   0   0     1 1703  100   0 0 O:N  0208:0208  
  83                   KL_EDK_VORST   24: :24        92     24    146     180  10   0   0     1  178  100   0 0 O:N      :      
  84                  KL_EDK_KORR_U   28: :28        AE     28    162     180   6   0   0     1  304  100   0 0 O:N      :      
  85                    KL_EDK_PPOS   20: :20        C2     20    176     180   6   0   0     1  303  100   0 0 O:N      :      
  86                    KL_EDK_PNEG   26: :26        DC     26    190     180   6   0   0     1  301  100   0 0 O:N      :      
  87                    KL_EDK_IPOS   26: :26        F6     26    1AA     180   6   0   0     1  300  100   0 0 O:N      :      
  88                    KL_EDK_INEG   26: :26       110     26    1C4     180   6   0   0     1  292  100   0 0 O:N      :      
  89                 K_EDK_DS2_DMAX   12: :12       11C     12    1D0     180   0   0   0     1 1704  100   0 0 O:N  0104:0104  
  90               K_EDK_DS2_TSPERR    2: :2        11E      2    1D2     180   0   0   0     1 1712  100   0 0 O:N    FA:FA    
  91                  K_EDK_DS2_TAU    1: :1        11F      1    1D3     180   0   0   0     1 1713  100   0 0 O:N    80:80    
  92                    K_PWG1_NORM    1: :1        120      1    1D4     180   0   0   0     1 2224  100   0 0 O:N  04DB:04DB  
  93                     K_PWG1_MIN    2: :2        122      2    1D6     180   0   0   0     1 2164  100   0 0 O:N  0606:0606  
  94                     K_PWG1_MAX    2: :2        124      2    1D8     180   0   0   0     1 2153  100   0 0 O:N  0D36:0D36  
  95                  K_PWG1_A0_MIN    2: :2        126      2    1DA     180   0   0   0     1 2155  100   0 0 O:N  0701:0701  
  96                  K_PWG1_A0_MAX    2: :2        128      2    1DC     180   0   0   0     1 2154  100   0 0 O:N  0C02:0C02  
  97              K_PWG_TAU_NORM_UP    2: :2        12A      2    1DE     180   0   0   0     1 2150  100   0 0 O:N    80:80    
  98               K_PWG_TAU_FEHLER    1: :1        12B      1    1DF     180   0   0   0     1 2151  100   0 0 O:N     D:D     
  99                   K_PWG_A0_TAU    1: :1        12C      1    1E0     180   0   0   0     1 2152  100   0 0 O:N     1:1     
 100            K_PWG1_INC_A0_ADAPT    1: :1        12D      1    1E1     180   0   0   0     1 2160  100   0 0 O:N     5:5     
 101               K_PWG_A0_ZAEHLER    1: :1        12E      1    1E2     180   0   0   0     1 2161  100   0 0 O:N    3B:3B    
 102              K_PWG1_A0_INITINC    1: :1        12F      1    1E3     180   0   0   0     1 2163  100   0 0 O:N     A:A     
 103                 K_PWG_AB_RAMPE    1: :1        130      1    1E4     180   0   0   0     1 2162  100   0 0 O:N  0708:0708  
 104              K_PWG1_SK_NULLAGE    2: :2        132      2    1E6     180   0   0   0     1 2158  100   0 0 O:N  0104:0104  
 105                       K_PWG_KD    2: :2        134      2    1E8     180   0   0   0     1 2157   87   0 0 O:N    46:0A46  
 106           K_PWG_SOLL_ANF_2_FAK    2: :2        136      0              0   0   0   0     1 2159   -1   0 0 O:N    80:      
 107           K_PWG_SOLL_ANF_2_MAX    1:1:2        138      0              0   0   0   0     1 2156   -1   0 0 O:N    0A:      
 108                KL_PWG_MAX_DIFF   10: :10       142      0    1F8     182   3   0   0     1  455  100   0 0 O:N      :      
 109            KL_PWG_SOLL_NOTLAUF   28: :28       15E     28    214     182  10   0   0     1 2378  100   0 0 O:N      :      
 110              KL_PWG_SOLL_SPORT   42: :42       188     42    23E     182  10   0   0     1 2380   98   0 0 O:N      :      
 111            KL_PWG_SOLL_KOMFORT   42: :42       1B2     42    268     182  10   0   0     1 2379   98   0 0 O:N      :      
 112           KF_PWG_TAU_NORM_DOWN   30: :30       1D0     30    286     182   4   4   0     1  125  100   0 0 O:N      :      
 113                   KF_MD_FAHRER   46: :46       1FE     46    2B4     182   8   6   0     1   59   61   0 0 O:N      :      
 114              K_FGR_SV_FEST_AUF   96:1:98       260   4872   15BC    4956   0   0   0     1 1844  100   0 0 O:N  0410:0410  
 115              K_FGR_WA_FEST_ASC    2: :2        262      2   15BE    4956   0   0   0     1 1846  100   0 0 O:N  0820:0820  
 116                    K_FGR_V_MIN    2: :2        264      2   15C0    4956   0   0   0     1 1851  100   0 0 O:N  010A:010A  
 117                  K_FGR_WA_FEST    2: :2        266      2   15C2    4956   0   0   0     1 1881  100   0 0 O:N  0810:0810  
 118               K_FGR_V_INC_AMIN    2: :2        268      2   15C4    4956   0   0   0     1 1885  100   0 0 O:N  0758:0758  
 119                K_FGR_VA_OFF_SB    2: :2        26A      2   15C6    4956   0   0   0     1 1887  100   0 0 O:N  04F4:04F4  
 120                  K_FGR_TV_NORM    2: :2        26C      2   15C8    4956   0   0   0     1 1886  100   0 0 O:N  0100:0100  
 121               K_FGR_V_DELTA_SV    2: :2        26E      2   15CA    4956   0   0   0     1 1882  100   0 0 O:N  0C00:0C00  
 122                K_FGR_V_INC_MAX    2: :2        270      2   15CC    4956   0   0   0     1 1883  100   0 0 O:N  0A0A:0A0A  
 123             K_FGR_V_INC_MAX_WA    2: :2        272      2   15CE    4956   0   0   0     1 1884  100   0 0 O:N  0C05:0C05  
 124                K_FGR_VA_OFF_WA    2: :2        274      2   15D0    4956   0   0   0     1 1892  100   0 0 O:N  1C0D:1C0D  
 125           K_FGR_V_DELTA_DEL_WA    2: :2        276      2   15D2    4956   0   0   0     1 1893  100   0 0 O:N  0C00:0C00  
 126        K_FGR_V_DELTA_ACC_TIPUP    2: :2        278      2   15D4    4956   0   0   0     1 1895  100   0 0 O:N  0460:0460  
 127      K_FGR_V_DELTA_DEL_TIPDOWN    2: :2        27A      2   15D6    4956   1   0   0     1 1894  100   0 0 O:N  0460:0460  
 128              K_FGR_SB_NACHLAUF    2: :2        27C      2   15D8    4956   0   0   0     1 1890  100   0 0 O:N  0109:0109  
 129           K_FGR_CONST_DRIV_TOL    2: :2        27E      2   15DA    4956   0   0   0     1 1889  100   0 0 O:N  0100:0100  
 130                   K_FGR_NV_ABW    2: :2        280      2   15DC    4956   0   0   0     1 1891  100   0 0 O:N  F0F0:F0F0  
 131                       K_FGR_SA    2: :2        282      2   15DE    4956   0   0   0     1 1888  100   0 0 O:N    E0:E0    
 132                 K_FGR_TIP_ZEIT    1: :1        283      1   15DF    4956   0   0   0     1 1873  100   0 0 O:N    14:14    
 133                  K_FGR_ASC_CNT    1: :1        284      1   15E0    4956   0   0   0     1 1870  100   0 0 O:N     3:3     
 134                    K_FGR_V_TAU    1: :1        285      1   15E1    4956   0   0   0     1 1872  100   0 0 O:N     2:2     
 135                   K_FGR_MD_MAX    1: :1        286      1   15E2    4956   0   0   0     1 1871  100   0 0 O:N  F0A0:F0A0  
 136                   K_FGR_MD_MIN    2: :2        288      2   15E4    4956   0   0   0     1 1867  100   0 0 O:N    00:00    
 137             K_FGR_FORMAT_ERROR    2: :2        28A      2   15E6    4956   0   0   0     1 1868  100   0 0 O:N     A:A     
 138               K_FGR_CODE_ERROR    1: :1        28B      1   15E7    4956   0   0   0     1 1869  100   0 0 O:N     5:5     
 139                K_FGR_HOLD_TIME    1: :1        28C      1   15E8    4956   0   0   0     1 1877  100   0 0 O:N     2:2     
 140          K_FGR_TIMEOUT_MFL_LIM    1: :1        28D      1   15E9    4956   0   0   0     1 1878  100   0 0 O:N    2D:2D    
 141                   K_FGR_CONFIG    1: :1        28E      1   15EA    4956   0   0   0     1 1880  100   0 0 O:N     3:3     
 142                  K_FGR_DIA_SPE    1:1:2        290      2   15EC    4956   0   0   0     2 1879  100   0 0 O:N  0F0A:0F0A  
 143              K_FGR_TIMEOUT_MFL    2: :2        292      2   15EE    4956   0   0   0     1 1875  100   0 0 O:N    32:32    
 144                 K_FGR_ABR_WERT    1:1:2        294      2   15F0    4956   0   0   0     1 1874  100   0 0 O:N  0870:0870  
